gOTU	11129.OH010.JJK.St_bt2_wol_alignment	11129.NH001.JJK.St_bt2_wol_alignment	11129.OT1D018.JJK.St_bt2_wol_alignment	11129.OT1D004.JJK.St_bt2_wol_alignment	11129.OT1D021.JJK.St_bt2_wol_alignment	11129.OT1D016.JJK.St_bt2_wol_alignment	11129.NH024.JJK.St_bt2_wol_alignment	11129.NT1D025.JJK.St_bt2_wol_alignment	11129.OH002.JJK.St_bt2_wol_alignment	11129.NH013.JJK.St_bt2_wol_alignment	11129.NT1D012.JJK.St_bt2_wol_alignment	11129.OT1D005.JJK.St_bt2_wol_alignment	11129.NT1D001.JJK.St_bt2_wol_alignment	11129.OT1D019.JJK.St_bt2_wol_alignment	11129.OH011.JJK.St_bt2_wol_alignment	11129.NT1D013.JJK.St_bt2_wol_alignment	11129.NH012.JJK.St_bt2_wol_alignment	11129.NT1D024.JJK.St_bt2_wol_alignment	11129.NH025.JJK.St_bt2_wol_alignment	11129.OH003.JJK.St_bt2_wol_alignment	11129.OT1D017.JJK.St_bt2_wol_alignment	11129.OT1D020.JJK.St_bt2_wol_alignment	11129.NT1D027.JJK.St_bt2_wol_alignment	11129.NH026.JJK.St_bt2_wol_alignment	11129.OT1D008.JJK.St_bt2_wol_alignment	11129.NT1D010.JJK.St_bt2_wol_alignment	11129.NH011.JJK.St_bt2_wol_alignment	11129.OT1D023.JJK.St_bt2_wol_alignment	11129.OT1D014.JJK.St_bt2_wol_alignment	11129.NH028.JJK.St_bt2_wol_alignment	11129.NT1D029.JJK.St_bt2_wol_alignment	11129.OT1D006.JJK.St_bt2_wol_alignment	11129.OH012.JJK.St_bt2_wol_alignment	11129.NH034.JJK.St_bt2_wol_alignment	11129.NT1D002.JJK.St_bt2_wol_alignment	11129.NH003.JJK.St_bt2_wol_alignment	11129.OT1D015.JJK.St_bt2_wol_alignment	11129.OT1D022.JJK.St_bt2_wol_alignment	11129.OT1D009.JJK.St_bt2_wol_alignment	11129.NH010.JJK.St_bt2_wol_alignment	11129.NT1D011.JJK.St_bt2_wol_alignment	11129.OH001.JJK.St_bt2_wol_alignment	11129.NH027.JJK.St_bt2_wol_alignment	11129.NT1D026.JJK.St_bt2_wol_alignment	11129.OH024.JJK.St_bt2_wol_alignment	11129.NH002.JJK.St_bt2_wol_alignment	11129.NT1D003.JJK.St_bt2_wol_alignment	11129.OH013.JJK.St_bt2_wol_alignment	11129.OT1D007.JJK.St_bt2_wol_alignment	11129.NT1D028.JJK.St_bt2_wol_alignment	11129.NH029.JJK.St_bt2_wol_alignment	11129.OH007.JJK.St_bt2_wol_alignment	11129.NH021.JJK.St_bt2_wol_alignment	11129.NT1D020.JJK.St_bt2_wol_alignment	11129.NH016.JJK.St_bt2_wol_alignment	11129.NT1D017.JJK.St_bt2_wol_alignment	11129.OT1D024.JJK.St_bt2_wol_alignment	11129.OT1D013.JJK.St_bt2_wol_alignment	11129.OH009.JJK.St_bt2_wol_alignment	11129.OT1D001.JJK.St_bt2_wol_alignment	11129.NT1D019.JJK.St_bt2_wol_alignment	11129.NH018.JJK.St_bt2_wol_alignment	11129.OH015.JJK.St_bt2_wol_alignment	11129.NH033.JJK.St_bt2_wol_alignment	11129.NT1D032.JJK.St_bt2_wol_alignment	11129.OH022.JJK.St_bt2_wol_alignment	11129.NH004.JJK.St_bt2_wol_alignment	11129.NT1D005.JJK.St_bt2_wol_alignment	11129.OT1D012.JJK.St_bt2_wol_alignment	11129.NT1D016.JJK.St_bt2_wol_alignment	11129.NH017.JJK.St_bt2_wol_alignment	11129.OH006.JJK.St_bt2_wol_alignment	11129.NT1D021.JJK.St_bt2_wol_alignment	11129.NH020.JJK.St_bt2_wol_alignment	11129.OH023.JJK.St_bt2_wol_alignment	11129.NT1D004.JJK.St_bt2_wol_alignment	11129.NH005.JJK.St_bt2_wol_alignment	11129.OH014.JJK.St_bt2_wol_alignment	11129.NT1D033.JJK.St_bt2_wol_alignment	11129.NH019.JJK.St_bt2_wol_alignment	11129.NT1D018.JJK.St_bt2_wol_alignment	11129.OH008.JJK.St_bt2_wol_alignment	11129.NT1D030.JJK.St_bt2_wol_alignment	11129.NH031.JJK.St_bt2_wol_alignment	11129.OH017.JJK.St_bt2_wol_alignment	11129.NT1D007.JJK.St_bt2_wol_alignment	11129.NH006.JJK.St_bt2_wol_alignment	11129.OH020.JJK.St_bt2_wol_alignment	11129.OT1D003.JJK.St_bt2_wol_alignment	11129.OH019.JJK.St_bt2_wol_alignment	11129.NH008.JJK.St_bt2_wol_alignment	11129.NT1D009.JJK.St_bt2_wol_alignment	11129.OT1D011.JJK.St_bt2_wol_alignment	11129.NT1D022.JJK.St_bt2_wol_alignment	11129.NH023.JJK.St_bt2_wol_alignment	11129.OH005.JJK.St_bt2_wol_alignment	11129.NT1D015.JJK.St_bt2_wol_alignment	11129.NH014.JJK.St_bt2_wol_alignment	11129.OT1D002.JJK.St_bt2_wol_alignment	11129.NH007.JJK.St_bt2_wol_alignment	11129.NT1D006.JJK.St_bt2_wol_alignment	11129.OH021.JJK.St_bt2_wol_alignment	11129.NH030.JJK.St_bt2_wol_alignment	11129.NT1D031.JJK.St_bt2_wol_alignment	11129.OH016.JJK.St_bt2_wol_alignment	11129.NH015.JJK.St_bt2_wol_alignment	11129.NT1D014.JJK.St_bt2_wol_alignment	11129.NH022.JJK.St_bt2_wol_alignment	11129.NT1D023.JJK.St_bt2_wol_alignment	11129.OH004.JJK.St_bt2_wol_alignment	11129.NT1D008.JJK.St_bt2_wol_alignment	11129.NH009.JJK.St_bt2_wol_alignment	11129.OT1D010.JJK.St_bt2_wol_alignment	11129.OH018.JJK.St_bt2_wol_alignment
G000157935	116618.68172521907	366.42182678432647	66.44848901098901	62.40163308913317	50.93337495837498	91.09554334554335	2.6346611721611723	23.12186147186149	14.641321178821167	5.230357142857144	65.48067904317918	98657.77538988763	18.163827838827824	90.86485597735597	373053.5686938067	3.178571428571429	251857.02622239236	171.18421439671437	26274.516548729007	1.5284090909090908	143.0276667776668	40.96785714285715	86.86488095238116	89.5335525585527	20.726028138528136	153.99374375624382	77.01257492507494	14.9632326007326	55426.10943778444	152770.87286186067	1.618131868131868	6.777518315018316	31117.600245587815	19136.95016788773	16.624999999999996	134997.78383005827	70.56836635586636	21.65178571428572	25.808766233766235	11.20535714285714	75.28804945054945	49.336080586080584	264639.75849844964	11.2757326007326	59729.370214507704	61020.258499832926	8.36111111111111	1880.7128982128984	16.31278582528582	460703.3057720024	7.877380952380953	22.774929237429248	226813.50593989648	15.492261904761905	617.5603077478077	30.34869297369298	42.65128205128208	226167.71736319733	3.388095238095238	44.23809523809524	312.32500000000016	38.0222735597736	21.107951770451766	23319.234618159622	17.9804945054945	45.6269230769232	1538.713716838719	12.530952380952376	410.4128718503713	30.91905316905316	291.16600066599955	8.67956349206349	54.287438949939	176.2489010989011	81.65328837828848	21.873937173937172	18.305698468198457	3236.1228535353534	159686.35046203827	10.306772394272395	193677.22925685596	413.2188034188034	312.7188242313243	174.62813575313572	20.43003663003663	105.31152319902363	91398.69283355515	34.15070762570763	55.5	30.2474816849817	6.298809523809524	406.9368964368955	163619.5824467205	102.26868686868707	69.44006410256418	39.395833333333336	109080.39121017841	111585.75744255721	53580.190768953216	49315.379968642315	16.082280219780216	59.59924242424244	10.076923076923077	26168.5014221889	30.96509462759462	106.67751831501838	10.868635531135526	26.639285714285716	74.15444139194138	352.2379814629811	299.17586996336996	18.87002997002997	57.559874847374864	97904.64899267377
G000012825	15390.56671384344	2779.30826534577	166771.49603593216	194154.69298490445	47928.558499840015	101878.66230293865	21584.4956890326	14982.349325677233	136797.5375179723	17103.762075427603	14347.174415862804	92273.55197023127	99406.92517340732	183488.99720841472	30217.047402593624	28876.79624818702	24877.51935425495	88256.94118796455	26053.267074589654	37587.69607198197	170327.02775144874	167574.077752827	85661.62111221018	105255.07552027718	134425.2442501243	177324.48562137407	23.746825396825397	42985.93820762764	88245.50402235248	27240.523033907837	35091.058784268556	1961.1198773448589	46625.79544761268	58401.21591743034	82277.07423964515	11868.525534188439	234337.8809137697	99444.13760541951	70039.41977329449	91059.35953905387	794.7342532467568	42141.59976967628	8432.093362192423	132389.2860069703	54019.72991731493	36732.97932206421	70685.29775364754	90338.8103757199	47554.11403043112	13836.372767511193	43793.253084418124	41479.183423525814	31304.535064930165	91558.01696634702	115820.23428232833	133271.495595993	95145.45066455453	36955.09660894492	81509.79422521689	59031.43063881961	46900.28790099694	82979.5364621429	46438.102680657204	47882.736201304666	33562.08614718153	92230.93435451694	11515.919924520984	41494.4967171731	190933.22152301334	121326.39267392932	8271.368550893225	121263.8814504263	15199.199925078288	188831.2616828526	76869.94843073915	86167.8820027102	57648.32424660015	30372.388961034834	42918.447490012426	32246.92770284789	23803.014393937665	150870.27855891755	160230.7692834973	135042.41917797594	172093.35984852628	35826.325786708665	25450.537680373003	195455.79405604524	73.66666666666667	164025.8817973814	100064.47481959408	59049.3745185749	35831.361742421584	27773.70696247927	53185.905296108715	64821.79697110286	48237.09545871446	34562.86545814941	14791.933254246695	14199.647005773419	43062.26157731417	17530.907431458236	2998.9686868687063	12082.286147186538	116940.07989920942	124360.28951735818	94987.57443110022	20740.58091630468	195747.10638261875	71213.11715091673	71150.23570042124	35522.965026633115	157006.96056304267	3357.3241813742175
G000438035	11293.376190476762	1111.4750000000051	132178.81111101544	150027.4190475887	40023.65000000036	74890.20952381774	16549.816666668165	11064.49682539774	109895.50952375091	12627.816666668794	10894.433333333567	81243.54523809243	74195.0666666759	144871.21587296503	24506.819047616937	18052.876190478844	20091.416666666515	67524.58809526055	19849.966666666547	29338.794047614632	135838.1357141998	136470.92738086852	69520.99285716035	81226.43333333047	99329.52301583292	132228.59999990233	21.666666666666664	32764.06904761308	73154.02857143943	21776.2833333324	23739.18333333148	1562.999999999991	41625.15952381081	46393.66666667325	65500.000000024724	8686.124999999736	191643.0952382229	79434.3595238093	51102.16507937652	73886.26587302652	302.1166666666668	32029.099999993865	6879.949999999217	107062.49523804548	41700.8833333351	29721.672023803774	57084.49761906339	67564.29523811735	36255.84960316559	10773.4833333336	32470.8119047558	31190.460714266166	24977.966666663848	76324.3476190529	90051.76249997989	104219.97539677625	67001.28412703918	30154.816666661874	59571.96904763783	44237.89444444894	34584.72619046818	65149.72777780308	35500.72857142471	39072.00952380916	27597.2095238057	70991.58730160198	8662.259523808652	34542.083333328934	146887.6825396389	97806.58928568306	3307.967857142916	96868.58313488604	12288.433333335186	152481.79285711862	58616.242857161706	64963.41904764367	46673.800000006755	24560.183333331017	35196.899999996094	25993.2833333305	18578.333333334074	108314.41904756699	123071.04841261642	95970.62301583882	133575.77301577752	26684.449999994147	21273.73571428507	138476.8174602412	60.16666666666669	115732.2373015185	81205.15238094916	41406.47619048113	27149.72619047258	20510.71904761876	41771.75238095542	49233.42916667603	39510.259523809196	25688.474999997277	10445.652380952533	10506.05952380979	31256.348412692525	12462.059523810107	2432.999999999998	9546.083333333236	92313.77857140408	97049.61746028489	76782.10000000561	16940.39444444906	166779.52301589877	58298.157738114205	47712.02619048392	27091.799999992043	136191.949999919	2605.9166666666747
G000159075	4339.5355630482245	11747.597277723906	8978.607147018913	9063.319615106606	8863.80781995735	7943.852684814045	6731.748705460561	6074.380848317857	21702.49551697962	1827.6221070595527	323.7407578532577	6627.9810800306095	7471.518002829609	5413.612864912659	2854.528553391103	7704.459888721282	5509.143337218103	1766.6175949050719	603.3996031746022	5516.3887959261465	34228.345565528005	19863.84378121863	6277.11308968767	8150.00066877451	14764.654617607988	457.4816780441759	13.466666666666667	7189.965516427274	4125.793979631814	3235.459917860037	2211.6183164057525	11.416071428571428	1753.2397949272552	3262.3894577646224	1795.7548673547985	1693.3956571206309	7130.3522699514615	4913.098103285614	1609.6634129758945	5371.3721001219465	2033.0994533244123	12690.576336166096	3340.42635003898	31628.112598498778	2540.392976467989	7429.870093794419	884.7990925741008	7540.182933732031	2239.863611388592	515.9869671994642	4940.506544844015	928.9919483294685	6111.272107059225	19147.134329560355	8434.653508990072	19071.081743257488	4860.625885225878	1365.786555111542	360.71037573537285	4464.865592740715	5788.60801282024	21664.010255020083	3778.779788267483	4172.203071928347	3576.577813852966	23524.01616993594	1252.6646686646657	1086.0241452991588	20172.00377400311	7751.024189698101	41434.781124437985	4377.137186424825	40809.369382011035	14699.547520538898	5384.811796536627	11785.531274282735	5107.386574536523	9869.463347763407	6944.399106448219	7313.41489205138	1186.4647949272983	18931.848659674895	9293.413815351032	28574.72211953366	31388.37375261697	2327.617464479948	1845.1043401042966	154501.3775501987	7.249999999999999	1108.7898171273368	12613.679383118488	31443.056410240853	1910.635551947995	3275.5089257965506	5644.25215895186	5645.74453601931	6475.577060438935	3669.776868964544	10562.352364302915	4168.100815851114	6627.010303584745	10563.146558997008	285.9111111111118	1627.8837662337303	14591.634121437328	16756.093385784203	16660.773754027516	2744.331339493873	6410.612530524626	10375.00897297183	15500.680935733095	4183.772845210522	22584.749618434358	128.96836219336194
G000433955	23512.416666666668	3853.2999999999993	69.03333333333335	52783.24999999999	4848.516666666666	15112.51666666667	36.533333333333324	253.86666666666676	56.48333333333336	2209.3500000000004	949.5666666666666	59.05000000000004	88.73333333333336	41.266666666666666	13286.2	19563.36666666667	5361.9	27497.066666666688	7033.433333333334	13.000000000000002	16735.766666666677	60.50000000000003	17276.83333333333	63.61666666666667	42600.35000000003	23.900000000000002	20.0	22195.616666666665	44.43333333333334	9247.299999999997	23482.633333333335	7.166666666666667	43.94999999999999	451.26666666666665	22.200000000000003	17.099999999999998	36.166666666666664	3925.716666666666	66.96666666666663	35.10000000000001	8770.78333333333	6.966666666666668	20.500000000000004	87.90000000000006	10423.116666666665	49827.96666666666	42156.96666666666	11875.683333333334	582.316666666667	1385.2333333333333	105.86666666666662	59.90000000000001	4514.233333333334	13374.266666666668	141.75000000000006	147.30000000000004	61787.96666666673	8779.999999999998	60.46666666666667	5926.450000000001	42898.549999999996	8024.683333333335	125.94999999999987	73407.90000000001	1196.716666666667	15.766666666666653	2362.416666666667	5743.983333333329	34695.84999999999	19016.78333333334	13816.350000000008	6455.800000000004	552.0333333333333	119.71666666666675	18979.466666666667	15732.41666666666	8466.016666666674	2961.966666666667	23363.166666666664	40.20000000000001	5.833333333333335	71.41666666666667	27563.90000000003	9746.983333333332	77.5833333333334	150.95000000000005	12952.683333333329	66.31666666666666	4.5	181.74999999999991	37.36666666666666	10195.933333333336	19067.233333333337	128.03333333333336	8048.483333333332	26395.383333333353	26.6	7718.533333333336	19222.033333333336	5989.85	255.8999999999999	2843.2999999999993	38.0	9.499999999999998	16.466666666666654	17506.43333333334	6655.36666666666	148.96666666666673	64346.34999999988	14697.60000000001	100.01666666666662	350.5666666666665	33.633333333333354	3045.9
G000146185	15114.493883894056	1439.9761724386647	3540.6679667554517	7693.946638084093	49.17775141525154	790.0358003108039	1719.8654692529653	1021.6600954600958	46.34688783438794	2261.399981962479	109.5876956376956	721.6825854700908	5196.074002386462	55313.980853868095	682.911593961599	4252.655204517686	2399.275976800974	8049.903729603697	251.04555583305594	423.797929847927	12492.083757908917	6653.741785991727	218.69961566211566	562.7311369186366	5110.487253024745	131.7556415806416	1.2602564102564102	6050.906765456727	3032.631089743584	4268.346804584294	1141.4832930957944	32.45357281607282	2272.7409673659645	1117.7579600954627	3417.6022394272377	4303.5248959373885	878.9302170052235	550.4104409479407	3933.5288392163407	372.34744699744493	306.51113469863475	178.87094849594834	531.162980075479	47389.176165500736	4019.1707847707653	1478.709365634366	166.1628219003216	826.261019536021	6469.444137806352	2992.6556360306313	131.8466894216894	2.69702380952381	19981.813876401404	2715.6426087801015	7281.56655011651	1323.2202283827285	6204.493802031268	2284.8809163059036	1808.5304681429525	1122.1622571872579	1043.1293317793436	1943.7911643911568	979.4192515817558	3628.414629814604	23.918147130647117	1491.9479617604582	686.6778402153418	1853.6294344544308	710.5103021978088	987.0556901431947	3551.818219280705	1493.9271006771005	861.939944777456	1784.8784507159455	3728.2210164835074	159.61529304029293	171.68429209679215	2789.0969683094618	3229.346510433987	423.97195859695853	855.3719003219026	7230.84877899876	105.1803682428683	98.33569208569209	1991.0027500277374	2887.9335525585443	6567.680966255942	3617.1524045398914	4.578088578088578	927.8173285048425	5063.293417693359	666.2233710733725	199.54966006215997	4039.5765331890248	9071.469751082268	239.12881007880972	1337.5080003330015	8397.497079309542	5273.7697677322185	2167.472043234537	221.56786824286826	6401.003660228618	16.35400432900433	347.7865564990561	2568.618317793312	12931.132743645612	855.6073149073194	4971.864392551878	7177.635884948351	5188.319114219099	1848.0289141414087	2502.689758852257	12190.605051892779	90.05442612942615
G001314995	5916.755819180609	18695.798197636814	25947.996840656073	14654.142211956692	11815.454999168298	15514.6762043534	10648.545505883341	9048.885884947953	58445.53991843842	4239.9356435232585	752.4033480408503	15413.385730936947	16871.824297926112	7121.760675435189	5779.379834054704	22792.570693194128	12563.73423937264	4037.0718309469607	1431.7547730047672	8022.980051891936	70049.0306318957	31688.842363180633	8294.953768453075	13703.036426075534	36030.741634750615	2142.531725219194	17.842857142857145	12345.419089245042	7679.49583055777	5094.487230824681	3460.0276071152566	29.853174603174594	3259.7206793207242	6750.847249971846	908.9197233322294	1749.7901778776409	20274.536477411584	6375.906519868521	6189.2763750137	13833.756632257724	6077.834901209662	18198.865571929757	5927.839950327249	44208.560568605455	4603.042969530512	10112.816984404604	1556.4666111666022	16942.635907150623	5315.258878621317	980.8563505938583	14814.701173827234	1186.0701631701697	10804.287493062822	27155.44813935242	17997.070114608916	33921.253078857386	10397.104345654492	4278.438142413246	544.9237068487053	6201.807570207332	15177.783436010262	46035.27760434785	5863.253313353086	8623.15775474462	4598.045634920703	32372.043056929957	1914.8832403707092	1937.1237706737504	30189.210354913947	11133.053486791547	66008.39991680413	6007.298957986249	114059.95704426762	28476.026136357585	8829.785299422363	21287.499773836298	12859.207425908156	12107.347366523452	21266.43719891139	12767.178803142617	3192.8902639028	56366.924750264654	25541.7122100104	47930.99031941736	86539.64597483935	3032.0509351759956	2615.7507145632317	181705.6009603227	15.750000000000002	1904.405372405369	16015.40900072429	71429.13657455122	3364.0538419914333	5011.414027638985	8064.159709733916	12357.956976358308	13662.015275004202	5766.139427239262	30788.773537567617	13417.853640804988	8895.780513930124	17137.217049619296	726.3777777777801	2401.4064213564125	20488.04500915693	23256.9179681405	21898.101073924598	7909.257475857028	15056.464778278476	16643.76188533975	12680.035755912151	7032.060794760355	39899.419723332554	459.50173160173034
G000436895	11031.533333333335	132.825	45.199999999999996	102.72619047619045	11.166666666666668	161.91666666666663	108.0	165.16666666666669	138.83333333333331	17674.28333333335	51.86666666666668	968.9523809523811	26618.149999999976	64048.733333333425	335.83333333333337	20.80952380952381	18.333333333333332	25.5	26.75	8.166666666666666	255.00000000000006	290.28571428571433	467.17857142857133	124.49999999999997	102.03333333333333	53.33333333333333	0.0	152.1428571428571	139.20238095238096	6028.249999999999	49.00000000000001	1.0	11.25	1421.4166666666665	1.0	36.58333333333333	33.65	49.833333333333336	114.83333333333331	16.633333333333333	38.333333333333336	3.5333333333333337	22.366666666666664	27.226190476190467	1638.5833333333328	335.75	20.735714285714284	434.61666666666656	61.36904761904762	32.91666666666667	205.65000000000003	185.56666666666678	31.916666666666664	296.08333333333337	128.61666666666667	41.55952380952381	474.33333333333167	69.83333333333334	1.25	37.333333333333336	166.47619047619048	152.91666666666666	126.41666666666664	180.08333333333337	3.75	131.53333333333333	8.283333333333333	22.916666666666664	27.569047619047605	15875.928571428576	515.7678571428571	109.00952380952378	35.03333333333333	150.83333333333331	89.17619047619046	195.41666666666669	44.75	63.91666666666667	60.366666666666674	139.91666666666666	2.1666666666666665	134.89285714285714	16.583333333333336	294.15000000000003	97.05952380952381	164.41666666666666	17.619047619047617	6.476190476190475	5.0	56.61666666666675	15.333333333333334	259.4928571428572	45.39285714285714	847.4857142857145	13841.309523809525	81.08333333333331	59.666666666666686	10923.533333333336	97.0095238095238	308.6428571428572	6.833333333333334	63.25	1.3333333333333333	16.166666666666668	92.66666666666666	70.86666666666667	65.00000000000003	55.46666666666669	20020.833333333332	22.333333333333332	76.14999999999999	230.53333333333336	343.1666666666667	4.166666666666666
G001405615	7181.927504439941	18791.79841269868	3369.388807026293	28439.478160727984	331.3619311244309	43629.569143356435	4206.114493839505	460.06885059385	4349.800111000104	2688.1694055944054	115.81845099345094	10800.182761682907	2938.4978715728753	6606.296160783577	36773.210656010415	3446.448378010873	1363.2390359640358	10333.412526362607	409.5739316239306	62174.60745504445	3896.8825521700574	55307.92065018253	305.630076867576	1996.5664238539214	2014.804187479181	486.017034354533	3.4069444444444446	30634.011825674308	3225.194216894212	5388.533277833238	1681.6320374070356	57.126440226440266	911.7737942612979	490.96253607503365	1091.5072607947689	689.748586136089	11772.748207348373	334.05004440004416	6312.6584054833	12983.333870296565	603.0876678876683	1143.6046023421027	4219.017476967477	36341.44727633462	21457.57965922981	2400.2836358086256	615.6551712176713	1032.9643509268567	16289.166819294414	619.9935273060278	189.8981449106448	36.999311799311805	32568.78943417669	2096.692297979791	9068.372380397359	690.6568459318466	8850.216625041592	16704.179390054647	51084.08332778271	898.7108516483587	9879.512591575156	786.6184065934118	687.8027985903	2296.1376789876645	1274.3007922632921	2359.3770451770365	7933.32539405028	6470.254076479033	2416.0041722166475	1145.7654831279879	57327.22121212038	1568.0343850593822	4037.501491563993	2072.6890109890105	59837.66016344655	2786.7168789543653	10546.560889110948	2182.020342157838	25404.351315351418	1196.218152680654	16532.01544844063	14893.96113331131	324.25510461760393	287.9950452325448	20561.821628371836	1268.2207417582435	1003.1888042513156	7744.460178709981	30.189855977355972	123761.5745559936	111413.88191252571	43021.52565073791	345.3392205017199	2369.316877566873	5989.774790487189	2434.6990911865823	694.584294871796	20729.884346209605	5289.439166389047	1617.3499694749644	29.695401820401795	9308.433492895992	65.68333333333334	242.56204906204914	14989.732832445565	10915.895698746019	15348.703117715988	1230.7256313131363	6674.255390442783	2346.7865953490887	847.1709609834697	459.0006424131419	94533.25516843855	152.4261738261738
G000436435	4374.165873016008	25893.560130143112	12304.665349929419	17064.704834057833	9235.189993339729	13822.154935344613	12685.810454823946	13857.381558720439	38249.082972580494	2140.4673992673493	958.6831099456185	17353.016025642184	10812.832652070663	6227.961544011113	6953.994282106546	10056.479365079493	8551.265613552428	4720.263888888806	926.8746031746118	5688.546962759278	77773.99507714507	37115.6981893073	9275.121978021676	16586.845707072775	41349.85854839661	1239.6612234987265	23.833333333333332	8053.429574591214	5956.074740536989	4520.061645299208	6535.983878620993	28.361904761904732	3301.263329725864	8868.49038045261	567.9075868575858	1334.5453144078076	27452.407478631147	15655.325468977024	5600.264520201894	7823.63098845525	7299.9797119544855	24753.81742146368	3819.0669164171054	30351.68731683776	4801.190873015826	7084.922294371692	1961.271840659321	9875.450707625698	6589.1476301474	1086.7266025641077	18414.5311258193	771.4184884559893	8706.18251470698	45360.68887085872	24015.461854810015	20400.14213564133	15699.076995227768	1980.2519230768735	459.05357142856474	3891.8963675215296	11644.48555194884	25383.621552053613	3701.97977300492	8527.370228382233	3587.067460317618	45189.24280303785	1283.032539682537	1672.8317460317328	24320.485393768886	11878.362673438829	92025.1330641187	4385.0186868686515	48906.38233851905	41371.932764458754	9410.860912698236	16623.29090909394	14098.145061883319	12329.270670996842	9561.911858974143	19445.97424242489	3704.611248473791	49946.43530359562	28120.77683288772	57661.7085789471	41698.643625824014	3780.6855519481546	2135.7099567099244	135828.5966905974	16.116666666666667	846.0583333333349	12796.615079366624	57019.371242669324	2789.3636904762243	6761.422557997229	8612.153561715486	12242.204675880579	11948.721169109564	3871.6224206351044	18068.84497863409	6387.015873015451	6022.47023809488	15481.544719172318	475.1333333333306	3209.4551948052504	23570.375931011044	18097.241595906267	20235.42664557687	9423.897496947415	21898.386385836115	17957.710653237125	8189.56215451098	5456.311906149241	33552.67828698235	535.1539682539675
G000297775	23380.651262626252	75.0	19057.977489177494	10.026659451659452	2.0	8382.49325396825	2.0714285714285716	0.5625	12.980158730158731	12.543290043290046	2.0	45.5	3.6754329004329005	115.3078754578754	24860.517965367973	1.8095238095238095	4989.261111111112	139.94880952380953	2.6666666666666665	13261.841865079363	9426.765873015873	11.057575757575757	7021.572619047615	0.4853535353535353	9514.231746031746	32.333333333333336	1.0	6996.67857142857	10.408333333333337	1268.9583333333333	9.25	5.0	818.0975579975583	13009.91567460318	3.6595238095238094	1.7357142857142855	8.396825396825395	4701.574242424241	1.6504329004329004	0.0	8.142857142857142	1.690909090909091	5.2523809523809515	0.2909090909090909	6.166666666666667	264.10833333333323	2.0	685.5928571428572	259.41666666666663	323.19880952380953	10.142857142857142	8.45	65.0	18.350595238095238	34.03273809523809	5.5095238095238095	3.0	0.0	1.5909090909090908	0.09090909090909091	0.0	21903.71753246753	0.6428571428571428	2784.850793650794	1.0	2.3666666666666667	62.76944444444445	1666.1999999999998	15.57142857142857	95.23571428571428	3.0	9.62063492063492	10.866666666666667	7.691341991341991	80.40277777777777	23.099999999999994	4.0	4316.992857142857	883.0940476190478	3.9761904761904763	2.0	15.95952380952381	14862.58594877346	7900.00559163059	26475.3968975469	17609.765548340554	0.2857142857142857	52639.44735958492	9.0	6.8428571428571425	132.62380952380946	3.2016233766233766	3272.007142857143	4816.675595238094	12.483333333333334	5.776623376623377	4627.6892857142875	14.230158730158731	7094.98793290043	19775.723809523803	4.0	15212.729870129877	3.0	0.0	19108.55297619048	113.76666666666665	0.4809523809523809	2.096825396825397	1.1285714285714283	10.503878066378064	341.3472222222222	5.142857142857142	16.429166666666667	0.0
G000154845	2844.0645909645878	1774.7205835830684	8391.103847541199	6532.694021255585	2229.8564574313864	9021.702503052264	6622.09266011759	4231.929125041604	2355.499929237416	1695.6281537906575	1025.6527097902356	13326.249512987997	9153.296631146557	1060.5157134532387	32175.30008741251	4186.469681707028	1171.0915695415815	8951.676326451017	698.8885323010335	41198.99541569538	5842.98389527096	3734.6368811743723	4497.6792041289045	4933.965223665072	3232.634708347074	4629.571259296142	68.1145604395605	5663.742443667296	8186.879843767319	1775.605351592803	19675.10490343039	502.54027777777617	1401.2713453213464	3147.068492618481	3319.5780164279777	1655.6755563880577	15631.890931291648	1374.0928543678504	57549.25196747754	2420.6791680541396	10205.953989066627	2207.180469530412	2648.8816891441834	11206.110077423053	3961.538991563972	6027.731499056394	1161.8390748140807	6443.657932345128	5440.126207125954	963.9591616716657	1931.3706626706512	3209.0629356755344	2878.9477355977183	3511.601766289285	1497.691500166492	5152.990845265677	3343.487588800073	1280.2279248529317	2529.5258991008964	3057.0986249860944	10902.419305694726	2378.634934509893	4837.322631535044	19078.246206571774	434.57788600288245	8622.428496503326	1522.19116439115	1147.6285464535517	11230.198008936033	16333.208903598228	5616.995625207876	12996.677824954033	3132.853513153482	22174.885653237136	1868.6915362415273	1712.6822802197948	11912.683220945968	1778.0662393162306	24198.978402154047	5488.049078698825	1160.1556568431595	15111.944058720252	72522.42447690728	5648.866459928743	14408.079233267594	5562.434623709453	3344.392898767892	3738.0327117327347	3.8742424242424245	2261.2759254634198	1851.325296925292	16023.778015042833	1157.3133588633643	5984.843463480862	5616.000302475155	5569.994302918862	906.22602120103	15503.412375125197	9590.441226828905	3611.7063797309333	830.2063006438091	685.5697163947181	154.55975829725833	532.4112734487708	4964.540215340028	2981.2943181818237	7660.486831223902	7474.6496239868475	4311.024256299185	3609.673436285914	1351.9802225552203	15636.604705018515	4636.631585081495	168.4014110889111
